Chr	Start	End	Colorval
Renan	1	1020000	black
Renan	1020001	2020000	white
Renan	2020001	3020000	white
Renan	3020001	4020000	white
Renan	4020001	5020000	black
Renan	5020001	6020000	white
Renan	6020001	7080000	white
Renan	7080001	8100000	white
Renan	8100001	9140000	white
Renan	9140001	10140000	white
Renan	10140001	11160000	white
Renan	11160001	12160000	black
Renan	12160001	13160000	white
Renan	13160001	14160000	white
Renan	14160001	15160000	white
Renan	15160001	16160000	white
Renan	16160001	17180000	white
Renan	17180001	18180000	white
Renan	18180001	19200000	black
Renan	19200001	20200000	black
Renan	20200001	21780000	cyan
Renan	21780001	22780000	black
Renan	22780001	23780000	cyan
Renan	23780001	24780000	black
Renan	24780001	25820000	black
Renan	25820001	26820000	cyan
Renan	26820001	27820000	cyan
Renan	27820001	28820000	cyan
Renan	28820001	29820000	cyan
Renan	29820001	30860000	cyan
Renan	30860001	31860000	cyan
Renan	31860001	32860000	cyan
Renan	32860001	33920000	cyan
Renan	33920001	35020000	white
Renan	35020001	36020000	black
Renan	36020001	37020000	white
Renan	37020001	38020000	white
Renan	38020001	39020000	white
Renan	39020001	40020000	white
Renan	40020001	41060000	white
Renan	41060001	42100000	white
Renan	42100001	43100000	white
Renan	43100001	44100000	white
Renan	44100001	45100000	white
Renan	45100001	46100000	white
Renan	46100001	47100000	white
Renan	47100001	48100000	white
Renan	48100001	49100000	white
Renan	49100001	50100000	white
Renan	50100001	51100000	white
Renan	51100001	52120000	white
Renan	52120001	53200000	white
Renan	53200001	54320000	white
Renan	54320001	55320000	white
Renan	55320001	56500000	black
Renan	56500001	57500000	white
Renan	57500001	58500000	white
Renan	58500001	59500000	white
Renan	59500001	60500000	white
Renan	60500001	61500000	white
Renan	61500001	62500000	white
Renan	62500001	63500000	white
Renan	63500001	64500000	white
Renan	64500001	65500000	cyan
Renan	65500001	66500000	cyan
Renan	66500001	67580000	cyan
Renan	67580001	68580000	cyan
Renan	68580001	69580000	white
Renan	69580001	70600000	cyan
Renan	70600001	71700000	cyan
Renan	71700001	72720000	cyan
Renan	72720001	73720000	cyan
Renan	73720001	74740000	white
Renan	74740001	75740000	white
Renan	75740001	76760000	black
Renan	76760001	77760000	black
Renan	77760001	78760000	black
Renan	78760001	79760000	black
Renan	79760001	80760000	black
Renan	80760001	81760000	white
Renan	81760001	82760000	white
Renan	82760001	83760000	cyan
Renan	83760001	84820000	cyan
Renan	84820001	85820000	cyan
Renan	85820001	86840000	cyan
Renan	86840001	87860000	cyan
Renan	87860001	88860000	cyan
Renan	88860001	89860000	cyan
Renan	89860001	90860000	cyan
