Chr	Start	End	Colorval
Renan	1	1100000	black
Renan	1100001	2100000	white
Renan	2100001	3100000	black
Renan	3100001	4100000	black
Renan	4100001	5100000	black
Renan	5100001	6100000	black
Renan	6100001	7100000	white
Renan	7100001	8100000	white
Renan	8100001	9120000	white
Renan	9120001	10120000	white
Renan	10120001	11120000	white
Renan	11120001	12120000	black
Renan	12120001	13300000	black
Renan	13300001	14300000	white
Renan	14300001	15300000	white
Renan	15300001	16300000	white
Renan	16300001	17320000	white
Renan	17320001	18320000	white
Renan	18320001	19360000	black
Renan	19360001	20360000	white
Renan	20360001	21360000	white
Renan	21360001	22360000	white
Renan	22360001	23360000	white
Renan	23360001	24440000	white
Renan	24440001	25440000	white
Renan	25440001	26660000	white
Renan	26660001	27840000	white
Renan	27840001	28840000	white
Renan	28840001	29840000	black
Renan	29840001	30840000	white
Renan	30840001	31840000	white
Renan	31840001	32840000	black
Renan	32840001	33860000	white
Renan	33860001	34860000	white
Renan	34860001	35860000	white
Renan	35860001	36860000	white
Renan	36860001	37860000	gray
Renan	37860001	38860000	white
Renan	38860001	39860000	white
Renan	39860001	40860000	black
Renan	40860001	41860000	gray
Renan	41860001	42860000	gray
Renan	42860001	43860000	gray
Renan	43860001	44860000	gray
Renan	44860001	45860000	gray
Renan	45860001	46880000	gray
Renan	46880001	47900000	gray
Renan	47900001	48920000	gray
Renan	48920001	49920000	white
Renan	49920001	50920000	white
Renan	50920001	51920000	white
Renan	51920001	52920000	white
Renan	52920001	53920000	white
Renan	53920001	54920000	white
Renan	54920001	55960000	white
Renan	55960001	56960000	gray
Renan	56960001	57960000	gray
Renan	57960001	58960000	gray
Renan	58960001	59960000	gray
Renan	59960001	60960000	gray
Renan	60960001	61980000	gray
Renan	61980001	63000000	white
Renan	63000001	64000000	white
Renan	64000001	65000000	white
Renan	65000001	66000000	white
Renan	66000001	67000000	salmon
Renan	67000001	68060000	salmon
Renan	68060001	69100000	salmon
Renan	69100001	70100000	salmon
Renan	70100001	71100000	salmon
Renan	71100001	72100000	salmon
Renan	72100001	73100000	salmon
Renan	73100001	74100000	salmon
Renan	74100001	75100000	black
Renan	75100001	76100000	black
Renan	76100001	77100000	pink
Renan	77100001	78100000	pink
Renan	78100001	79100000	pink
Renan	79100001	80100000	pink
Renan	80100001	81140000	pink
Renan	81140001	82140000	pink
Renan	82140001	83160000	pink
Renan	83160001	84160000	pink
Renan	84160001	85160000	pink
Renan	85160001	86160000	pink
Renan	86160001	87160000	white
Renan	87160001	88180000	white
Renan	88180001	89220000	white
Renan	89220001	90260000	white
Renan	90260001	91260000	white
Renan	91260001	92260000	red
Renan	92260001	93360000	red
Renan	93360001	94360000	red
Renan	94360001	95380000	red
Renan	95380001	96400000	red
Renan	96400001	97400000	red
Renan	97400001	98400000	red
Renan	98400001	99400000	red
Renan	99400001	100400000	red
Renan	100400001	101400000	white
Renan	101400001	102400000	white
Renan	102400001	103400000	white
Renan	103400001	104420000	white
Renan	104420001	105480000	gray
Renan	105480001	106480000	black
Renan	106480001	107480000	black
Renan	107480001	108480000	black
Renan	108480001	109480000	black
Renan	109480001	110480000	black
Renan	110480001	111480000	black
Renan	111480001	112480000	black
Renan	112480001	113480000	black
Renan	113480001	114480000	black
Renan	114480001	115480000	black
Renan	115480001	116480000	black
Renan	116480001	117520000	black
Renan	117520001	118520000	black
Renan	118520001	119520000	gray
Renan	119520001	120520000	gray
Renan	120520001	121580000	gray
Renan	121580001	122580000	gray
Renan	122580001	123580000	gray
Renan	123580001	124580000	gray
Renan	124580001	125600000	gray
Renan	125600001	126640000	gray
Renan	126640001	127640000	gray
Renan	127640001	128640000	gray
Renan	128640001	129640000	gray
Renan	129640001	130680000	gray
Renan	130680001	131760000	gray
Renan	131760001	132760000	gray
Renan	132760001	133760000	gray
Renan	133760001	134760000	gray
Renan	134760001	135780000	gray
Renan	135780001	136780000	gray
Renan	136780001	137780000	gray
Renan	137780001	138780000	gray
Renan	138780001	139780000	gray
Renan	139780001	140780000	gray
Renan	140780001	141800000	gray
Renan	141800001	142800000	gray
Renan	142800001	143800000	gray
Renan	143800001	144840000	gray
Renan	144840001	145840000	gray
Renan	145840001	146840000	gray
Renan	146840001	147840000	gray
Renan	147840001	148840000	gray
Renan	148840001	149840000	gray
Renan	149840001	150840000	gray
Renan	150840001	151840000	gray
Renan	151840001	152840000	gray
Renan	152840001	153840000	gray
Renan	153840001	154840000	gray
Renan	154840001	155840000	gray
Renan	155840001	156840000	gray
