Chr	Start	End	Colorval
Renan	1	1000000	gray
Renan	1000001	2080000	gray
Renan	2080001	3080000	gray
Renan	3080001	4080000	gray
Renan	4080001	5140000	gray
Renan	5140001	6140000	gray
Renan	6140001	7320000	gray
Renan	7320001	8380000	gray
Renan	8380001	9460000	gray
Renan	9460001	10480000	gray
Renan	10480001	11520000	gray
Renan	11520001	12540000	gray
Renan	12540001	13600000	gray
Renan	13600001	14600000	gray
Renan	14600001	15600000	gray
Renan	15600001	16620000	gray
Renan	16620001	17620000	gray
Renan	17620001	18640000	gray
Renan	18640001	19640000	gray
Renan	19640001	20640000	white
Renan	20640001	21640000	white
Renan	21640001	22680000	gray
Renan	22680001	23680000	gray
Renan	23680001	24680000	gray
Renan	24680001	25680000	gray
Renan	25680001	26680000	gray
Renan	26680001	27720000	gray
Renan	27720001	28720000	gray
Renan	28720001	29720000	gray
Renan	29720001	30720000	gray
Renan	30720001	31720000	gray
Renan	31720001	32720000	gray
Renan	32720001	33740000	gray
Renan	33740001	34740000	gray
Renan	34740001	35740000	gray
Renan	35740001	36740000	gray
Renan	36740001	37740000	gray
Renan	37740001	38740000	gray
Renan	38740001	39740000	gray
Renan	39740001	40740000	gray
Renan	40740001	41780000	gray
Renan	41780001	42780000	gray
Renan	42780001	43780000	gray
Renan	43780001	44800000	gray
Renan	44800001	45800000	gray
Renan	45800001	46800000	gray
Renan	46800001	47800000	gray
Renan	47800001	48840000	gray
Renan	48840001	49840000	gray
Renan	49840001	50840000	gray
Renan	50840001	51920000	gray
Renan	51920001	52920000	gray
Renan	52920001	53920000	gray
Renan	53920001	54960000	gray
Renan	54960001	55960000	gray
Renan	55960001	56960000	gray
Renan	56960001	57960000	gray
Renan	57960001	58960000	gray
Renan	58960001	60040000	gray
Renan	60040001	61040000	gray
Renan	61040001	62040000	gray
Renan	62040001	63040000	gray
Renan	63040001	64040000	gray
Renan	64040001	65040000	gray
Renan	65040001	66080000	gray
Renan	66080001	67080000	gray
Renan	67080001	68080000	gray
Renan	68080001	69100000	gray
Renan	69100001	70100000	gray
Renan	70100001	71100000	gray
Renan	71160001	72160000	gray
Renan	72160001	73160000	gray
Renan	73160001	74180000	gray
Renan	74180001	75180000	gray
Renan	75180001	76180000	gray
Renan	76180001	77180000	gray
Renan	77180001	78260000	gray
Renan	78260001	79260000	gray
Renan	79260001	80300000	gray
Renan	80300001	81300000	gray
Renan	81300001	82300000	gray
Renan	82300001	83300000	gray
Renan	83300001	84300000	gray
Renan	84300001	85300000	gray
Renan	85300001	86300000	gray
Renan	86300001	87400000	gray
Renan	87400001	88420000	gray
Renan	88420001	89420000	gray
Renan	89420001	90460000	gray
Renan	90460001	91460000	gray
Renan	91460001	92460000	gray
Renan	92460001	93460000	gray
Renan	93460001	94480000	gray
Renan	94480001	95540000	gray
Renan	95540001	96540000	gray
Renan	96540001	97540000	gray
Renan	97540001	98540000	gray
Renan	98540001	99580000	gray
Renan	99580001	100580000	gray
Renan	100580001	101580000	gray
Renan	101580001	102580000	gray
Renan	102580001	103580000	gray
Renan	103640001	104700000	gray
Renan	104700001	105700000	gray
Renan	105700001	106700000	gray
Renan	106700001	107700000	gray
Renan	107700001	108700000	gray
Renan	108700001	109740000	black
Renan	109740001	110800000	black
Renan	110800001	111860000	gray
Renan	111860001	112860000	gray
Renan	112860001	113880000	gray
Renan	113880001	114880000	gray
Renan	114880001	115880000	gray
Renan	115880001	116880000	gray
Renan	116880001	117880000	gray
Renan	117880001	118880000	gray
Renan	118880001	119940000	gray
Renan	119940001	120940000	gray
Renan	120940001	121940000	gray
Renan	121940001	122940000	gray
Renan	122940001	123940000	gray
Renan	123940001	124940000	gray
Renan	124940001	125960000	gray
Renan	125960001	126960000	gray
Renan	126960001	127960000	gray
Renan	127960001	129020000	gray
Renan	129020001	130040000	gray
Renan	130040001	131040000	gray
Renan	131040001	132040000	gray
Renan	132040001	133040000	gray
Renan	133040001	134040000	gray
Renan	134040001	135060000	gray
Renan	135060001	136080000	gray
Renan	136080001	137240000	gray
Renan	137240001	138260000	gray
Renan	138260001	139260000	gray
Renan	139260001	140260000	gray
Renan	140260001	141280000	gray
Renan	141280001	142320000	gray
Renan	142320001	143320000	black
Renan	143320001	144320000	gray
Renan	144320001	145320000	black
Renan	145320001	146320000	black
Renan	146320001	147400000	gray
Renan	147400001	148440000	gray
Renan	148440001	149440000	gray
Renan	149440001	150440000	gray
Renan	150440001	151520000	gray
