Chr	Start	End	Colorval
Renan	1	1000000	white
Renan	1000001	2000000	white
Renan	2000001	3000000	white
Renan	3000001	4000000	white
Renan	4000001	5100000	white
Renan	5100001	6100000	white
Renan	6100001	7320000	white
Renan	7320001	8320000	white
Renan	8320001	9360000	white
Renan	9360001	10500000	white
Renan	10500001	11500000	white
Renan	11500001	12500000	white
Renan	12500001	13500000	white
Renan	13500001	14500000	white
Renan	14500001	15540000	white
Renan	15540001	16540000	white
Renan	16540001	17860000	white
Renan	17960001	18960000	white
Renan	18960001	19960000	white
Renan	19960001	21020000	white
Renan	21020001	22020000	white
Renan	22020001	23020000	white
Renan	23020001	24020000	white
Renan	24020001	25020000	white
Renan	25020001	26020000	black
Renan	26020001	27020000	white
Renan	27020001	28020000	gray
Renan	28020001	29020000	black
Renan	29020001	30040000	white
Renan	30040001	31040000	white
Renan	31040001	32040000	white
Renan	32040001	33040000	white
Renan	33040001	34040000	white
Renan	34040001	35040000	white
Renan	35040001	36080000	white
Renan	36080001	37120000	white
Renan	37120001	38200000	white
Renan	38200001	39200000	white
Renan	39200001	40220000	white
Renan	40220001	41220000	white
Renan	41220001	42220000	white
Renan	42220001	43220000	white
Renan	43220001	44220000	white
Renan	44220001	45220000	white
Renan	45220001	46240000	white
Renan	46240001	47240000	white
Renan	47240001	48240000	white
Renan	48240001	49240000	white
Renan	49240001	50240000	white
Renan	50240001	51240000	white
Renan	51240001	52240000	white
Renan	52240001	53320000	white
Renan	53320001	54320000	white
Renan	54320001	55340000	white
Renan	55340001	56420000	gray
Renan	56420001	57420000	black
Renan	57420001	58420000	gray
Renan	58420001	59440000	white
Renan	59440001	60440000	white
Renan	60440001	61540000	gray
Renan	61540001	62540000	gray
Renan	62540001	63580000	gray
Renan	63580001	64580000	gray
Renan	64580001	65620000	gray
Renan	65620001	66620000	gray
Renan	66620001	67860000	white
Renan	67860001	68860000	white
Renan	68860001	69860000	gray
Renan	69860001	70900000	gray
Renan	70960001	72040000	gray
Renan	72040001	73040000	gray
Renan	73040001	74040000	gray
Renan	74040001	75040000	gray
Renan	75040001	76040000	gray
Renan	76040001	77040000	gray
